Title,Author,Category,Description,Query,Published,Modified
Time between Account Creation and Account Deletion -,SplunkNinja,WinEventLog:Security,"Below is the query indicating time (duration) between account creation and account deletion. I have added a range to indicate severity, remove and modify as needed. Windows 2008 and newer: ","'sourcetype=WinEventLog:Security (EventCode=4726 OR EventCode=4720) |eval Date=strftime(_time, ""%Y/%m/%d"") |rex ""Subject:\\s+\\w+\\s\\S+\\s+\\S+\\s+\\w+\\s\\w+:\\s+(?&lt;SourceAccount&gt;\\S+)"" | rex ""Target\\s\\w+:\\s+\\w+\\s\\w+:\\s+\\S+\\s+\\w+\\s\\w+:\\s+(?&lt;DeletedAccount&gt;\\S+)"" | rex ""New\\s\\w+:\\s+\\w+\\s\\w+:\\s+\\S+\\s+\\w+\\s\\w+:\\s+(?&lt;NewAccount&gt;\\S+)"" | eval SuspectAccount=coalesce(DeletedAccount,NewAccount) | transaction SuspectAccount startswith=""EventCode=4720"" endswith=""EventCode=4726"" |eval duration=round(duration/60, 2) | eval Age=case(duration&lt;=240, ""Critical"", duration&gt;240 AND duration&lt;=1440, ""Warning"", duration&gt;1440, ""Normal"")| table Date, index, host, SourceAccount, SuspectAccount, duration, Age | rename duration as ""Minutes Account was Active"" |rename index as ""SSP or Index"" | sort + ""Minutes Account was Active""'",2015-02-13T15:32:27+00:00,
Failed Authentication to Non-existing Accounts -,SplunkNinja,WinEventLog:Security,This splunk query will return results for failed logon attempts to accounts that do not exist. This has been tested and confirmed on Windows Server 2008 and newer machines: ,"'\xa0source=""WinEventLog:security"" sourcetype=""WinEventLog:Security"" EventCode=4625 Sub_Status=0xC0000064 |eval Date=strftime(_time, ""%Y/%m/%d"") |rex ""Which\\sLogon\\sFailed:\\s+Security\\sID:\\s+\\S.*\\s+\\w+\\s\\w+\\S\\s.(?&lt;uacct&gt;\\S.*)"" | stats count by Date, uacct, host | rename count as ""Attempts"" | sort - Attempts'",2015-03-10T14:59:02+00:00,
File Accesses in a Windows Environment by user -,Go Splunk,WinEventLog:Security,File Accesses in a Windows Environment by user ,"'sourcetype=""WinEventLog:Security"" user=* (EventCode=560 OR EventCode=4656) | chart count by Type'",2014-10-07T14:46:47+00:00,2015-03-11T11:32:47+00:00
Account Modifications in a Windows Environment -,ItsJohnLocke,WinEventLog:Security,The following splunk query will give you all permission changes for each user. There are four queries. 1. Windows 2008 Permission Increases: ,"'\xa0sourcetype=WinEventLog:Security (EventCode=4717) | eval Date=strftime(_time, ""%Y/%m/%d"") | rex ""Access\\sGranted:\\s+Access\\sRight:\\s+(?&lt;RightGranted&gt;\\w+)"" | rex ""Account\\sModified:\\s+\\w+\\s\\S+\\s+.*\\\\\\(?&lt;AccountModified&gt;.*)"" | stats count by Date, AccountModified, RightGranted, host | sort - Date', u'\xa0sourcetype=WinEventLog:Security (EventCode=4718) | eval Date=strftime(_time, ""%Y/%m/%d"") | rex ""Access\\sRemoved:\\s+Access\\sRight:\\s+(?&lt;RightRemoved&gt;\\w+)""| rex ""Account\\sModified:\\s+\\w+\\s\\S+\\s+.*\\\\\\(?&lt;AccountModified&gt;.*)"" | stats count by Date, AccountModified, RightRemoved, host | sort - Date | rename RightRemoved as ""Rights Removed"" | rename AccountModified as ""Account Modified""', u'sourcetype=WinEventLog:Security EventCode=608 | eval Date=strftime(_time, ""%Y/%m/%d"") | rex ""Message=User\\sRight\\sAssigned:\\s+User\\sRight:\\s+(?&lt;RightGranted&gt;\\w+)"" | rex ""Assigned\\sTo:\\s+.*\\\\\\(?&lt;AccountModified&gt;.*)"" | stats count by Date, AccountModified, RightGranted, host | sort - Date | rename RightGranted as ""Rights Granted"" | rename AccountModified as ""Account Modified""', u'sourcetype=WinEventLog:Security EventCode=609 | eval Date=strftime(_time, ""%Y/%m/%d"") | rex ""Message=User\\sRight\\sRemoved:\\s+User\\sRight:\\s+(?&lt;RightRemoved&gt;\\w+)"" | rex ""Removed\\sFrom:\\s+.*\\\\\\(?&lt;AccountModified&gt;.*)"" | stats count by Date, AccountModified, RightRemoved, host | sort - Date | rename RightRemoved as ""Rights Removed"" | rename AccountModified as ""Account Modified""'",2015-03-11T14:37:06+00:00,
Accounts Deleted in a Windows Environment -,ItsJohnLocke,WinEventLog:Security,These splunk queries will return deleted accounts in Associated with Windows Environments (NOTE* The 2003 query requires that the splunk for windows app be installed): 2003: ,"'sourcetype=WinEventLog:Security (EventCode=630) | eval Date=strftime(_time, ""%Y/%m/%d"") | stats count by Date, Target_Account_Name, Caller_User_Name, Type, host | sort - Date | rename Target_Account_Name as ""Deleted Account"" | rename Caller_User_Name as ""Source Account"" | sort - Date', u'sourcetype=WinEventLog:Security (EventCode=4726) | eval Date=strftime(_time, ""%Y/%m/%d"") |rex ""Target\\sAccount:\\s+.*\\s+\\w+\\s\\w+:\\s+(?&lt;TargetAccount&gt;.*)"" | rex ""Account\\sName:\\s+(?&lt;SourceAccount&gt;.*)"" | stats count by Date, TargetAccount, SourceAccount, Keywords, host | sort - Date | rename TargetAccount as ""Deleted Account"" | rename SourceAccount as ""Source Account""'",2015-03-11T17:45:03+00:00,
Changes to Windows User Groups by Account -,SplunkNinja,WinEventLog:Security,This splunk query will return changes to any group in a windows environment. You MUST have the Splunk App for Windows Infrastructure\xa0app installed located here:\xa0https://apps.splunk.com/app/1680/ Windows Server 2003 and older: ,"'sourcetype=WinEventLog:Security (EventCode=636 OR EventCode=632 OR EventCode=650 OR EventCode=655 OR EventCode=660 OR EventCode=665) | eval Date=strftime(_time, ""%Y/%m/%d"") | stats count by Date, Caller_User_Name, Target_Account_Name, host, Type', u'sourcetype=WinEventLog:Security (EventCode=4728 OR EventCode=4732 OR EventCode=4746 OR EventCode=4751 OR EventCode=4756 OR EventCode=4161 OR EventCode=4185) | eval Date=strftime(_time, ""%Y/%m/%d"") |rex ""Member:\\s+\\w+\\s\\w+:.*\\\\\\(?&lt;TargetAccount&gt;.*)"" | rex ""Account\\sName:\\s+(?&lt;SourceAccount&gt;.*)"" | stats count by Date, TargetAccount, SourceAccount, Group_Name, host, Keywords | sort - Date | rename SourceAccount as ""Administrator Account"" | rename TargetAccount as ""Target Account""'",2015-03-13T12:34:54+00:00,
New Service Installation on Windows -,SplunkNinja,WinEventLog:Security,The following splunk query will return results of all new services installed on windows machines (this works on any windows OS tested thus far). Ensure the Splunk App for Windows is installed grab it here:\xa0https://apps.splunk.com/app/742/ ,"'\xa0sourcetype=WinEventLog:Security (EventCode=4697 OR EventCode=601) | eval Date=strftime(_time, ""%Y/%m/%d"") | eval Status=coalesce(Keywords,Type) |stats count by Date, Service_Name, Service_File_Name, Service_Account, host, Status'",2015-03-13T14:45:05+00:00,
Windows File Access Attempts -,SplunkNinja,WinEventLog:Security,The following splunk queries will display any file access attempts (successful or failed) by user account. Ensure the Splunk App for Windows is installed grab it here:\xa0https://apps.splunk.com/app/742/ Windows 2003 and older: ,"'sourcetype=""WinEventLog:Security"" EventCode=560 Object_Type=File | eval Date=strftime(_time, ""%Y/%m/%d"") |eval UserName=coalesce(Primary_User_Name, Client_User_Name)| search UserName!=""*$"" AND UserName!=""NETWORK SERVICE""| stats count by Date, Image_File_Name, UserName, Type, host | sort - Date', u'sourcetype=""WinEventLog:Security"" EventCode=4656 Object_Type=File (Security_ID!=""NT AUTHORITY*"") (Security_ID!=""S-*"")| eval Date=strftime(_time, ""%Y/%m/%d"") | stats count by Date, Account_Name, Process_Name, Keywords, host'",2015-03-18T19:48:05+00:00,
File Deletion Attempts In Windows -,SplunkNinja,WinEventLog:Security,The following splunk queries will return results based on any user account who attempts to delete a file. This will return both successful and failed attempts. Ensure the Splunk App for Windows is installed grab it here:\xa0https://apps.splunk.com/app/742/ Windows 2003 and older: ,"'sourcetype=""WinEventLog:Security"" EventCode=564 |eval Date=strftime(_time, ""%Y/%m/%d"") | stats count by Date, Image_File_Name, Type, host | sort - Date', u'sourcetype=""WinEventLog:Security"" EventCode=4660 (Security_ID!=""NT AUTHORITY*"") (Security_ID!=""S-*"")| eval Date=strftime(_time, ""%Y/%m/%d"") | stats count by Date, Account_Name, Process_Name, Keywords, host'",2015-03-18T19:51:11+00:00,
Modification to File Permissions in Windows -,SplunkNinja,WinEventLog:Security,The following splunk query works on Windows Sever 2008 and newer operating systems. It returns results based on modifications to individual file level permissions. Ensure the Splunk App for Windows is installed grab it here:\xa0https://apps.splunk.com/app/742/ ,"'\xa0&lt;strong&gt;source=""WinEventLog:Security"" sourcetype=""WinEventLog:Security"" EventCode=4670 (Security_ID!=""NT AUTHORITY*"") (Security_ID!=""S-*"")| eval Date=strftime(_time, ""%Y/%m/%d"") | stats count by Date, Account_Name, Process_Name, Keywords, host | sort - Date&lt;/strong&gt;'",2015-03-18T19:54:55+00:00,
Password Non Compliance Windows -,SplunkNinja,WinEventLog:Security,The following splunk queries will return results for failed attempts to change passwords. This is likely a result of users not meeting password requirements. Be sure to have the\xa0Splunk App for Windows is installed grab it here:\xa0https://apps.splunk.com/app/742/ Windows 2003 and Older: ,"'sourcetype=""WinEventLog:Security"" EventCode=627 Type=""Failure Audit""| eval Date=strftime(_time, ""%Y/%m/%d"") | stats count by Date, Target_Account_Name, host | sort - Date', u'sourcetype=""WinEventLog:Security"" EventCode=4723 \xa0Keywords=""Audit Failure"" | eval Date=strftime(_time, ""%Y/%m/%d"") | rex ""Target\\sAccount:\\s+Security\\sID:.*\\\\\\(?&lt;account&gt;\\S+)"" | stats count by Date, account, host | sort - Date'",2015-03-23T20:24:38+00:00,
Verify Windows Updates have been Applied -,SplunkNinja,WinEventLog:System,The following splunk query will return results on any Windows Updates (Patches) that have been applied by searching for the KB value associated with the EventID. &nbsp; ,"'sourcetype=WinEventLog:System EventCode=19 | eval Date=strftime(_time, ""%Y/%m/%d"")| rex ""\\WKB(?&lt;KB&gt;.\\d+)\\W"" |stats count by Date, host, KB'",2015-04-02T13:11:20+00:00,
Start a Windows Service -,SplunkNinja,WinEventLog:Application,This Splunk Query will return results for any Windows Service that has started. Ensure the Splunk App for Windows is installed grab it here:\xa0https://apps.splunk.com/app/742/ ,"'sourcetype=WinEventLog:Application EventCode=105 | eval Date=strftime(_time, ""%Y/%m/%d"") | stats count by Date, SourceName, host | sort - Date | fields - count'",2015-04-06T22:38:02+00:00,2015-04-06T22:38:57+00:00
Shutdown or Suspend a Service in Windows -,SplunkNinja,WinEventLog:Application,This splunk query will return results for any Windows Service that has been stopped. Ensure the Splunk App for Windows is installed grab it here:\xa0https://apps.splunk.com/app/742/ ,"'sourcetype=WinEventLog:Application EventCode=108 | eval Date=strftime(_time, ""%Y/%m/%d"") | stats count by Date, SourceName, host | sort - Date | fields - count'",2015-04-06T22:36:31+00:00,2015-04-06T22:39:15+00:00
Failed Attempt to Initiate Remote Desktop Session -,SplunkNinja,WinEventLog:Security,This splunk query will return any failed attempts initiated by users to launch an RDP (remote desktop) session in a Windows environment. Ensure the Splunk App for Windows is installed grab it here:\xa0https://apps.splunk.com/app/742/ Windows Server 2008 and Newer: ,"'source=WinEventLog:Security sourcetype=WinEventLog:security Logon_Type=10 EventCode=4625 | eval Date=strftime(_time, ""%Y/%m/%d"") | rex ""Failed:\\s+.*\\s+Account\\sName:\\s+(?&lt;TargetAccount&gt;\\S+)\\s"" | stats count by Date, TargetAccount, Failure_Reason, host', u'source=WinEventLog:Security sourcetype=WinEventLog:security Logon_Type=10 (EventCode=529 OR EventCode=530 OR EventCode=531 OR EventCode=532 OR EventCode=533 OR EventCode=534 OR EventCode=535 OR EventCode=536 OR EventCode=537 OR EventCode=539) | eval Date=strftime(_time, ""%Y/%m/%d"") | stats count by Date, User_Name, Reason, host'",2015-04-09T01:01:09+00:00,2015-04-09T01:02:33+00:00
Account Enabled in Windows -,SplunkNinja,WinEventLog:Security,The following Splunk queries will show any accounts that have been enabled from a previously disabled state. Ensure the Splunk App for Windows is installed grab it here:\xa0https://apps.splunk.com/app/742/ Windows Server 2008 and Newer: ,"'sourcetype=WinEventLog:Security (EventCode=4722) | eval Date=strftime(_time, ""%Y/%m/%d"") |rex ""ID:\\s+\\w+\\\\\\(?&lt;sourceaccount&gt;\\S+)\\s+"" | rex ""Account:\\s+Security\\sID:\\s+\\w+\\\\\\(?&lt;targetaccount&gt;\\S+)\\s+"" | stats count by Date, sourceaccount, targetaccount, Keywords, host | rename sourceaccount as ""Source Account"" | rename targetaccount as ""Target Account"" | sort - Date', u'sourcetype=WinEventLog:Security (EventCode=626) | eval Date=strftime(_time, ""%Y/%m/%d"") | stats count by Date, Caller_User_Name, Target_Account_Name, Type, host | sort - Date'",2015-04-09T01:04:58+00:00,
USB and Removable Media Detection -,SplunkNinja,WinRegistry,This splunk query will show information about USB mass storage device uses. You must be monitoring the registry using the Windows Technology Add-on (TA). ,"'sourcetype=WinRegistry key_path=""HKLM\\\\system\\\\controlset*\\\\enum\\\\usbstor\\\\*"" \xa0registry_type=CreateKey | eval Date=strftime(_time, ""%Y/%m/%d %H:%M:%S"") | rex ""key_path.*usbstor\\S(?&lt;DeviceType&gt;.*)&amp;ven\\S(?&lt;Vendor&gt;.*)&amp;prod\\S(?&lt;Product&gt;\\S*)&amp;rev\\S"" \xa0\xa0| stats \xa0count by Date, host, Vendor, Product, DeviceType \xa0\xa0| fields \xa0- count \xa0\xa0| sort \xa0- Date'",2014-11-25T12:50:28+00:00,2015-04-09T01:08:04+00:00
